date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
2025-08-26,2025,"Protection - Gender-Based Violence
MHPSS and GBV
------ USAID / BHA",225803,"United States of America, Government of",Governments,USA,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,International Organization for Migration,Multilateral Organizations,Protection,HTI,,,,2026,2026,financial,Standard,Traditional aid,incoming,single,paid,2025-08-26,,USAID/BHA,,,,358153,720BHA23IO00068 	HHTI25,2025-08-26,2026-02-03
2025-08-26,2025,"Protection
MHPSS and community-based activities in sites and host communities",93052,"France, Government of",Governments,FRA,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,International Organization for Migration,Multilateral Organizations,Protection,HTI,,,,2026,2026,financial,Standard,Traditional aid,incoming,single,paid,2025-08-26,,Multiyear,83468,EUR,0.897,358157,2025-0201149	  HHTI25,2025-08-26,2026-02-03
2025-08-26,2025,"Camp Coordination / Management
Community resource centers",109209,"France, Government of",Governments,FRA,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,International Organization for Migration,Multilateral Organizations,Camp Coordination / Management,HTI,,,,2026,2026,financial,Standard,Traditional aid,incoming,single,paid,2025-08-26,,Multiyear,97960,EUR,0.897,358158,2025-0201149	  HHTI25,2025-08-26,2026-02-03
2025-08-26,2025,"Coordination and Support Services
Community resource centers",76446,"France, Government of",Governments,FRA,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,International Organization for Migration,Multilateral Organizations,Coordination and support services,HTI,,,,2026,2026,financial,Standard,Traditional aid,incoming,single,paid,2025-08-26,,Multiyear,68572,EUR,0.897,358159,2025-0201149	  HHTI25,2025-08-26,2026-02-03
2025-08-08,2024,Out of plan	HDP (development)	Project to Strengthen Agricultural Opportunities Through Training and Technological Investment (PROFIT) – Phase II,307168,"Norway, Government of",Governments,NOR,2024,2024,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,International Labour Organization,Multilateral Organizations,,HTI,,,,2026,2026,financial,Standard,Traditional aid,incoming,single,paid,2025-07-18,2025-08-08,Multiyear,3208370,NOK,10.445,356582,HTI/24/02/NOR,2025-08-08,2026-02-03
2025-07-29,2024,Providing quality education in emergency services to the most vulnerable and at risk children and adolescents in contexts of violence in Haiti.,221229,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2024,2024,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,Save the Children,NGOs,Education,HTI,,,,2026,2026,financial,Standard,Traditional aid,incoming,single,commitment,2025-07-02,2024-05-14,,206849,EUR,0.935,350485,ECHO/-AM/BUD/2024/91005,2025-07-29,2026-02-03
2025-07-29,2025,"Renforcement des capacités locales et communautaires pour le système d’alerte précoce, la préparation et la réponse rapide aux risques multiples et interdépendants, en Haïti.",568182,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,Cooperazione Internazionale - COOPI,NGOs,,HTI,,,,2026,2026,financial,Standard,Traditional aid,incoming,single,commitment,2025-07-02,2025-04-17,,500000,EUR,0.88,354074,ECHO/-AM/BUD/2025/91012,2025-07-29,2026-02-03
2025-07-29,2025,"Binational Emergency Response: Ensuring immediate access to child protection and education services for children, adolescents, and their families impacted by violence and migration measures in the Dominican Republic and Haiti",34448,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,Plan International,NGOs,Education,HTI,,,,2026,2026,financial,Standard,Cash transfer programming (CTP),incoming,single,commitment,2025-07-02,2025-05-06,,30211,EUR,0.877,354647,ECHO/-AM/BUD/2025/91021,2025-07-29,2026-02-03
2025-07-29,2025,"Binational Emergency Response: Ensuring immediate access to child protection and education services for children, adolescents, and their families impacted by violence and migration measures in the Dominican Republic and Haiti",19765,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,Plan International,NGOs,Education,HTI,,,,2026,2026,financial,Standard,Traditional aid,incoming,single,commitment,2025-07-02,2025-05-06,,17334,EUR,0.877,354652,ECHO/-AM/BUD/2025/91021,2025-07-29,2026-02-03
2025-07-29,2025,"Binational Emergency Response: Ensuring immediate access to child protection and education services for children, adolescents, and their families impacted by violence and migration measures in the Dominican Republic and Haiti",468503,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,Plan International,NGOs,Education,HTI,,,,2026,2026,financial,Standard,Traditional aid,incoming,single,commitment,2025-07-02,2025-05-06,,410877,EUR,0.877,354653,ECHO/-AM/BUD/2025/91021,2025-07-29,2026-02-03
