date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
2025-11-18,2025,Flexible humanitarian funding from Save the Children International's Humanitarian Fund,61458,Save the Children,NGOs,,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,Save the Children,NGOs,,HTI,,,,2026,2026,financial,Pass through,Traditional aid,incoming,single,commitment,2025-11-14,2025-04-02,,,,,368110,99701382,2026-02-24,2026-02-24
2025-11-18,2025,Flexible humanitarian funding from Save the Children International's Humanitarian Fund,14487,Save the Children,NGOs,,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,Save the Children,NGOs,,HTI,,,,2026,2026,financial,Pass through,Traditional aid,incoming,single,commitment,2025-11-14,2025-04-02,,,,,368113,99701382,2026-02-24,2026-02-24
2025-10-30,,Humanitarian,1200000,"Korea, Republic of, Government of",Governments,KOR,2024,2024,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,United Nations Development Programme,Multilateral Organizations,,HTI,,,,2026,2026,financial,Standard,Traditional aid,incoming,single,commitment,2025-10-11,2024-12-06,,,,,365514,810-334205705 01005008,2025-10-30,2026-01-02
2025-09-18,2025,INSO Haiti + Colombia,165426,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,International NGO Safety Organisation,NGOs,Coordination and support services,HTI,,,,2026,2026,financial,Standard,Traditional aid,incoming,single,commitment,2025-08-12,2025-07-22,,141605,EUR,0.877,354675,ECHO/-AM/BUD/2025/91031,2025-09-18,2026-02-03
2025-09-18,2025,Réponse d'urgence multisectorielle intégrée pour les communautés vulnérables de la zone métropolitaine de Port-au-Prince,22737,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,Associazione Volontari per il Servizio Internazionale,NGOs,Nutrition,HTI,,,,2026,2026,financial,Standard,Cash transfer programming (CTP),incoming,single,commitment,2025-08-12,2025-08-08,,19827,EUR,0.877,354803,ECHO/-AM/BUD/2025/91025,2025-09-18,2026-02-03
2025-09-18,2025,Réponse d'urgence multisectorielle intégrée pour les communautés vulnérables de la zone métropolitaine de Port-au-Prince,164634,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,Associazione Volontari per il Servizio Internazionale,NGOs,Protection,HTI,,,,2026,2026,financial,Standard,Cash transfer programming (CTP),incoming,single,commitment,2025-08-12,2025-08-08,,143561,EUR,0.877,354804,ECHO/-AM/BUD/2025/91025,2025-09-18,2026-02-03
2025-09-18,2025,Réponse d'urgence multisectorielle intégrée pour les communautés vulnérables de la zone métropolitaine de Port-au-Prince,186708,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,Associazione Volontari per il Servizio Internazionale,NGOs,Nutrition,HTI,,,,2026,2026,financial,Standard,Traditional aid,incoming,single,commitment,2025-08-12,2025-08-08,,162809,EUR,0.877,354807,ECHO/-AM/BUD/2025/91025,2025-09-18,2026-02-03
2025-09-18,2025,Réponse d'urgence multisectorielle intégrée pour les communautés vulnérables de la zone métropolitaine de Port-au-Prince,327213,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,Associazione Volontari per il Servizio Internazionale,NGOs,Protection,HTI,,,,2026,2026,financial,Standard,Traditional aid,incoming,single,commitment,2025-08-12,2025-08-08,,285330,EUR,0.877,354808,ECHO/-AM/BUD/2025/91025,2025-09-18,2026-02-03
2025-09-18,2025,"Amélioration de l'accès aux services de Protection et d’'Eau, Hygiène et Assainissement pour les personnes déplacées et les communautés hôtes de la Zone Métropolitaine de Port-au-Prince affectées par la multiplicité des crises",370,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,Solidarités International,NGOs,Protection,HTI,,,,2026,2026,financial,Standard,Cash transfer programming (CTP),incoming,single,commitment,2025-08-12,2025-07-30,,317,EUR,0.877,354909,ECHO/-AM/BUD/2024/91007,2025-09-18,2026-02-03
2025-09-18,2025,"Amélioration de l'accès aux services de Protection et d’'Eau, Hygiène et Assainissement pour les personnes déplacées et les communautés hôtes de la Zone Métropolitaine de Port-au-Prince affectées par la multiplicité des crises",32150,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,Solidarités International,NGOs,,HTI,,,,2026,2026,financial,Standard,Traditional aid,incoming,single,commitment,2025-08-12,2025-07-30,,27520,EUR,0.877,354913,ECHO/-AM/BUD/2024/91007,2025-09-18,2026-02-03
