countrycode,countryname,adminone,adminlevel,population,date,datatype,fcs people,fcs prevalence,rcsi people,rcsi prevalence,health access people,health access prevalence,market access people,market access prevalence
HTI,Haiti,,national,,2026-03-04,SURVEY,8882281,0.7471978056633765,7347083,0.6180533359562812,,,9445386,0.794567537723358
HTI,Haiti,,national,,2026-03-03,SURVEY,8779105,0.7385184107542795,7409036,0.6232650619274637,,,9533710,0.8019975498591074
HTI,Haiti,,national,,2026-03-02,SURVEY,8717476,0.7333340193025366,7395006,0.6220848262235419,,,9483141,0.7977435137175455
HTI,Haiti,,national,,2026-03-01,SURVEY,8754737,0.7364684966833742,7287283,0.6130229209681197,,,9437294,0.7938867554113805
HTI,Haiti,,national,,2026-02-28,SURVEY,8764234,0.7372674123692539,7345917,0.6179553472164271,,,9384627,0.7894562857941357
HTI,Haiti,,national,,2026-02-27,SURVEY,8750658,0.7361253903085135,7376548,0.6205320970273203,,,9276247,0.7803391048782456
HTI,Haiti,,national,,2026-02-26,SURVEY,8775902,0.7382489845141723,7338370,0.6173204763071257,,,9313171,0.7834451637107398
HTI,Haiti,,national,,2026-02-25,SURVEY,8705026,0.7322867612802791,7236057,0.608713672631049,,,9261216,0.7790746921555282
HTI,Haiti,,national,,2026-02-24,SURVEY,8633009,0.7262284838909668,7138587,0.6005142731968892,,,9177246,0.7720109217957293
HTI,Haiti,,national,,2026-02-23,SURVEY,8669867,0.7293290707957656,7051230,0.593165602463639,,,9238489,0.7771628634173613
HTI,Haiti,,national,,2026-02-22,SURVEY,8653535,0.7279551748847444,7090357,0.5964570552353674,,,9300340,0.7823658858890223
HTI,Haiti,,national,,2026-02-21,SURVEY,8608093,0.724132474274864,7171680,0.6032981320814141,,,9237969,0.7771191164907028
HTI,Haiti,,national,,2026-02-20,SURVEY,8607530,0.7240851258571716,7283701,0.6127215949316658,,,9284234,0.7810111359554425
HTI,Haiti,,national,,2026-02-19,SURVEY,8537198,0.7181686308660156,7392093,0.6218397779979165,,,9209684,0.7747396853414137
HTI,Haiti,,national,,2026-02-18,SURVEY,8434745,0.7095500500695859,7263039,0.6109834602121766,,,9193596,0.7733863193416641
HTI,Haiti,,national,,2026-02-17,SURVEY,8462518,0.7118863783807066,7291012,0.613336612980944,,,9253330,0.7784112963482193
HTI,Haiti,,national,,2026-02-16,SURVEY,8443607,0.7102955417879149,7362513,0.6193514141313541,,,9196578,0.7736371956160295
HTI,Haiti,,national,,2026-02-15,SURVEY,8399983,0.7066257910859985,7338494,0.6173309074708667,,,9208820,0.7746670860967482
HTI,Haiti,,national,,2026-02-14,SURVEY,8396752,0.7063539919727149,7351872,0.6184562954428601,,,9198948,0.7738365551048096
HTI,Haiti,,national,,2026-02-13,SURVEY,8378603,0.7048272565635574,7369211,0.619914891798548,,,9206577,0.7744783240417462
HTI,Haiti,,national,,2026-02-12,SURVEY,8431663,0.709290785177249,7253626,0.6101916171130306,,,9205484,0.7743863783807066
HTI,Haiti,,national,,2026-02-11,SURVEY,8515622,0.7163536083750804,7401631,0.6226421363830915,,,9170435,0.7714380517470896
